initiative_id,title,description,portfolio_category,initiative_type,strategic_objective,business_owner,delivery_owner,sponsor,lifecycle_stage,shaping_stage,priority,rag_status,confidence_level,start_date,target_end_date,last_update_date,progress_pct,budget,actual_cost,forecast_cost,expected_benefit,benefits_status,benefits_description,risk_exposure,dependency_ids,decision_required,next_milestone,next_milestone_date,data_quality_status,executive_summary,source_system_reference
INIT-039,Cyber Security - Vulnerability Management System Phase 1,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Programme,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Approved,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,5.0,1725000.0,15000.0,1725000.0,3105000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-038,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-039 (Cyber Security - Vulnerability Management System Phase 1) is currently Approved with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-039
INIT-040,Fraud Prevention - Card Fraud Scoring Model Phase 2,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Project,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Approved,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,5.0,1750000.0,15000.0,1750000.0,3150000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-039,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-040 (Fraud Prevention - Card Fraud Scoring Model Phase 2) is currently Approved with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-040
INIT-041,Technology - API Gateway Modernisation Phase 3,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Programme,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Shaping,Governance_Gate,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,15.0,1830000.0,45000.0,1830000.0,3294000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from API Gateway Modernisation.,MEDIUM,INIT-040,True,Stage Gate Approval,2025-06-30,VALIDATED,Initiative INIT-041 (Technology - API Gateway Modernisation Phase 3) is currently Shaping with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-041
INIT-042,Data - Enterprise Metadata Catalog Phase 1,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Project,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Shaping,Governance_Gate,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,15.0,1860000.0,45000.0,1860000.0,0.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,MEDIUM,INIT-041,True,Stage Gate Approval,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-042 (Data - Enterprise Metadata Catalog Phase 1) is currently Shaping with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-042
INIT-043,AI - Automated Document Processing Phase 2,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Programme,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Shaping,Governance_Gate,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,15.0,1890000.0,45000.0,1890000.0,3402000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Automated Document Processing.,MEDIUM,INIT-042,True,Stage Gate Approval,2025-06-30,VALIDATED,Initiative INIT-043 (AI - Automated Document Processing Phase 2) is currently Shaping with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-043
INIT-044,Cyber Security - Vulnerability Management System Phase 3,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Project,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Shaping,Governance_Gate,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,15.0,1920000.0,45000.0,1920000.0,3456000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Vulnerability Management System.,MEDIUM,INIT-043,True,Stage Gate Approval,2025-06-30,VALIDATED,Initiative INIT-044 (Cyber Security - Vulnerability Management System Phase 3) is currently Shaping with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-044
INIT-045,Fraud Prevention - Card Fraud Scoring Model Phase 1,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Programme,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Shaping,Governance_Gate,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,15.0,1950000.0,45000.0,1950000.0,3510000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,MEDIUM,INIT-044,True,Stage Gate Approval,2025-06-30,VALIDATED,Initiative INIT-045 (Fraud Prevention - Card Fraud Scoring Model Phase 1) is currently Shaping with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-045
INIT-046,Technology - API Gateway Modernisation Phase 2,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Project,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Closed,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,100.0,1420000.0,1391600.0,1391600.0,2556000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from API Gateway Modernisation.,LOW,INIT-045,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-046 (Technology - API Gateway Modernisation Phase 2) is currently Closed with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-046
INIT-047,Data - Enterprise Metadata Catalog Phase 3,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Programme,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Closed,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,100.0,1440000.0,1411200.0,1411200.0,2592000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,LOW,INIT-046,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-047 (Data - Enterprise Metadata Catalog Phase 3) is currently Closed with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-047
INIT-048,AI - Automated Document Processing Phase 1,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Project,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Closed,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,75.0,1460000.0,1430800.0,1430800.0,2628000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-047,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-048 (AI - Automated Document Processing Phase 1) is currently Closed with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-048
INIT-049,Cyber Security - Vulnerability Management System Phase 2,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Programme,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Closed,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,100.0,1480000.0,1450400.0,1450400.0,2664000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-048,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-049 (Cyber Security - Vulnerability Management System Phase 2) is currently Closed with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-049
INIT-050,Fraud Prevention - Card Fraud Scoring Model Phase 3,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Project,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Closed,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,100.0,1500000.0,1470000.0,1470000.0,2700000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-049,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-050 (Fraud Prevention - Card Fraud Scoring Model Phase 3) is currently Closed with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-050
